	meta	yat	k/h	h-drop	r/r-drop	št/ć	č dev/ć dev	eu/au/ ev/av	sa dev/s dev	tko/ko	šta/što	da li/je li	usprkos/uprkos/unatoč	bre/bolan/ba	mnogo/puno/vrlo/jako	HR months/international months	tjedan/nedjelja/nedelja/sedmica	drug/prijatelj (m/f)	treba da/trebaXXX da	inf with -i/inf without -i	synt. future/no synt. future	da' in text	da pres	og/oga	irati/isati	irati/ovati	inf/verb ratio	sr cyrillic/mix cyrillic/latin
Dve vrste kafanskih smaraca postoje:najteza,koja tokom __cele__ veceri pita kad cemo kuci,__druga__ malo blaza,__sa pitanjem__ kad ce neka brza __pesma__.	-	e	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	drug (FP)	-	-	-	-	-	-	-	-	0	latin
Just posted a photo http://t.co/xEWZ0xmJRi	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Vjetar se ne moze __vezati__	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.5	latin
Hajde da odaberem neki petak, odemo __gde__ ima najvise ljudi, izvadimo kalasnjikov i sve ih ubijemo	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Nožni palac je specijalna naprava za nalaženje __nameštaja__ u mraku	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @LikIzCrtanog: Jebeš, jebeš pa odjebeš. Tako ti je to. Život.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Da li ti je nakad poruka slomila srce? Da i meni je.	-	-	-	-	-	-	-	-	-	-	-	dali	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Grad svih godišnjih doba. ❤️ #Amsterdam #seasons #winter #sunny #BeursVanBerlage #AmsterdamSchool… https://t.co/pBY0fR24hO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Pravac Varšava!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
it's all about rock and roll 🎸 @ KBC "Dr Dragiša Mišović - Dedinje" https://t.co/8yy7IsmpSf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@85naopaka __ko__ je objavio	-	-	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@MatijaKocic1 hahaha jedi govna naravno da ne :D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Slušam Rastu u 5 ujutru, opušteno __ko__ babina sisa. And she really gonna turn me on yeah	en tweet (FP)	-	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
🐶🐕 (@ Savana in Beograd) https://t.co/D0IfZGIyvx	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
http://t.co/9mc89UKf9E	website	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@brkajlija razboli se.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
*samasebibacasmorenipogled*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Kol'ka je! @ Cathédrale de Strasbourg http://t.co/WeqbN26gj1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Plakyy http://t.co/zzPy7GfXA3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@Milinkovic_11 pa dobro,tvoja supa je van konkurencije..ona se takmici __sa tadzmahalom__..ahhahhah	-	-	-	-	-	-	-	-	sa-dev	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
A simply beautiful street #cat in #dubai. #cats #catlovers #animals @ Dubai, United Arab Emirates https://t.co/QP8tE77OFb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Jos i ti si mi falila da mi dodjes -.-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@ninjaoutreach Bring it on!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ti ljudi od kojih smo se otuđili koji su postali stranci. Šteta čoveče šteta.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Šta bi se desilo kad bih i ja zapalila cigaru zajedno __sa njom__?	-	-	-	-	-	-	-	-	sa-dev	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @ClanicaHarema: Vrhunac svega je __sto__ danas idem ranije u skolu da bih zauzela dobru klupu, __sta__ __reci__, a ne __zaplakati__	-	e	-	-	-	-	-	-	-	-	both	-	-	-	-	-	-	-	-	inf-i	-	da	-	-	-	-	0.29	latin
Moja sestra umocila kosu u kecap evo lize je vec dva sata ok neko je previse gledao vampire diaries	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @Lijerko: @zapunjara Hahahaha! ZAPI &lt;3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I'm at Park Kod Medicinske (Novi Sad) http://t.co/DCvV8l9HWA	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
PICKE SU ONI STO SU SE GUDRI ODALI	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Po svakom "laznom" glasackom listicu koji cu __staviti__ u kutiju __trazicu__ 100€ nisam ni ja jeftin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	synt-future	-	-	-	-	-	0.5	latin
I work out :) (@ Worldclass fitness center w/ 3 others) http://t.co/xOIqy0j28X	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @MilosAJovanovic: Trebaju mi __dve__ karte za koncert Miligrama u Areni, da ih spalim.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
15 mina __sedenja__ luksuz	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Mrzim kad serija zavrsi se kad je najbolje...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Evo biraju miss BiH na FTV.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ok Band - Jos ovu noc OFFICIAL VIDEO HD 2013: http://t.co/j9DQTG6KNK	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@moderni_com @DEXemotivac_ a de Vasa ?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@IgorMilic7 kad ce slike :)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
ali kad mi neko kaže " budi iskrena neću __da__ se naljutim " ok ruzan si i smaras me, šta ćemo sad?	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	da	da-pres	-	-	-	0	latin
👌 http://t.co/YyNEsszmsZ	website	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
I'm at kod poste (Bihac) http://t.co/oc0ehlc5eT	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Tuga čemer jad, rekoh ja dvojka je nemoguća misija @M_R_G_U_D http://t.co/l33bFsrgBC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
imam kolegicu koja stalno postuje neke slike kolaca, cokolada i potajno je mrzim zbog toga	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
konacno skinuo Monument Valley. bas je super :) http://t.co/ZkdjsWjZ5a	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Je li realno da svaki 3. dan struje u centru nema?! 21. __vijek__, glavni grad Crne Gore.	-	je	-	-	-	-	-	-	-	-	-	jeli	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Najvise mrzim kad mi se neko ubaci i smara me nebitnim stvarima,a ja ne znam __sta__ cu od nervozeee	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @little_liarrr: Ako te moja najbolja __drugarica__ ne podnosi jedino logicno jeste to da te ni ja ne podnosim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drug	-	-	-	da	-	-	-	-	0	latin
RT @NicijaDevojka: da on mi je __drug__ ali mi se ujedno i svidja, malo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drug	-	-	-	da	-	-	-	-	0	latin
RT @anntifa_kucka: pola majka pola SAD ZA RASPUST DA -UCIS SVE STO SI PROPUSTILA U PRVOM POLUGODJU	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@iivanpavlovic 'ladan ovaj Bec!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
I Got my eyes in you, you everything that I see @StasaVN	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@Zorana_Arunovic znaci zivote!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Sunce naseg grada,da nam __vjecno__ sjaaa	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @SlavicaKaric58: Za svakog postoji neko, sve u svoje __vreme__. 🍀	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
https://t.co/F771PVnMYb The Chamber#LENNY KRAVITZ	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@ancica Ja se drzim da dva psa nazovem James &amp; Bond	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Slavimo ivasimovic rođ 🎉 sa zakašnjenjem...#beautybloggers #coffeetime @ Dolce By Tintolino Family https://t.co/p11DckDdWm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
svi __treba da__ budete hipsterske filmske mušice i tako su načosi ružni u sinepleksima #filmskamušica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	treba-da	-	-	da	-	-	-	-	0	latin
RT @ajdpali: JED- ČEKAM UTISAK! http://t.co/bFjORqN34z	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@bobspop17 on njoj vjeruje, ojjj	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @Preduhitrivach: imao sam strasnu ideju za masku ali niko nije hteo __da__ se maskiramo u sestre kovac i __da__ se pobijemo na ulazu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	da-pres	-	-	-	0	latin
I'm at Novigrad in Novigrad, Istria w/ @zagi988 https://t.co/xECwjH9VIB	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @ADAMOVO_REBRO: Nemože, nebi, nesme, samnom Šteta, tako __lep__ dečko.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ne mogu da pronađem ime filma čiji sam početak pogledao na TV-u. #tugica	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	- (FN)	-	-	-	0	latin
Stara a dobra😜 http://t.co/BmZOvFf52M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
#Chill (@ Vrdila) https://t.co/QLcZSAHxEr http://t.co/aaUcPSfLdY	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ne otvarajte frizider!Iskocice supruga Dragica @micin_taja @homerhsimpson @stankoholcer @pera_vampir @krvopija @celava_ti_mama @MikiSedmi	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future	-	-	-	-	-	0.5	latin
RT @Rade_Mrdak: NIKAD NISAM Z-O SA DJECOM,NEKOM SIROČETU IZ DOMA KUPIO PORODIČNI SLADOLJED,ONO SE RASPLAKA I BACI GA JA REKO JEL TO TAKO I…	-	both (FP)	-	-	-	-	-	-	sa-dev	-	-	jeli	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Zaspaću oko sedam,vidim ja	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	synt-future	-	-	-	-	-	0.33	latin
@makopopic Normalno!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @DusanORLDusan: @Borrsky dobro jutro Sinisa, pozdrav ekipi @zubarica @gordanacom @Sallence69 @milosdjajic @_Akademac_ @borisradosevic @…	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @BrankoBranislav: I believe!!!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Taksisti su najpametniji ljudi na svetu u stvari	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
booty game too strong and i'm just too weak for it	en tweet	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
RT @marija_matkovic: Kad izlazim iz prodavnice a ne kupim nista, imam trip da misle da sam nesto ukrala	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
I'm at OMV (Lapovo, Central Serbia) http://t.co/t3EMIqgwuY	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Budžetsko poslovanje i odluke za fiskalnu 2016. godinu-centralne teme redovne __sednice__ __lokalnog__ parlamenta. https://t.co/l6LaA5UQJP #Negotin	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	og	-	-	0	latin
E tako! http://t.co/RObZOjgiEG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
http://t.co/1P2Z8CGUmg	website	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Picke grobarske vidite __sta__ vas ceka. PAKAO SA SEVERA	-	e	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Jeduuu mi se šnenokle :D	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ostrasceni i podivljali cetnici neka se sami otprate. Hvala na __razumevanju__.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Kako cu sad da spavam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
@S_Ashe_R_B NIKADA VIŠE! PU! STOKO!!!!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@darknes__ šta je namygg?! Molim objašnjenje	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Velika izlaznost u opštini Kičevo - do 13h glasalo više od pola upisanih birača (54,8%)	-	-	-	-	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
I da LG G3 je pao idemooo :)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Kaj, sad tu selimo? ;) RT @PojeMario: Štimac ima pojma o nogometu __ko__ Seth Rogan o komediji.	-	-	-	-	-	-	-	-	-	ko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Kako to misliš ljudi spavaju svako __veče__? Zar ne spavaju svi samo svaki drugi dan?	-	-	-	-	r-drop	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Doslo __vreme__ da ja kazem NE MOGU VISE DA SE PECEN - SUNCU	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
meni do jaja ova nova Bijonsarina __pesma__	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
U normalnim državama u krugu bolnica je "tiha zona" -ni sirenu na kolima ne smeš da koristiš, a u Novom Sadu prave akva-park na 500m od UC !	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop (FP)	-	da	-	-	-	-	0	latin
Jesen u meni - Parni Valjak: http://t.co/J8FpaGQ2zJ via @YouTube	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@MilaCurcic Odnervirala sam se :)))	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Samo me poslusaj!	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Jedini __sto__ __zameram__ roditeljima jeste __sto__ na __vreme__ nisu __pobegli__ u neku nirmalniju zemlju, tipa Ugandu	-	e	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
@veceivan Željko Šašić, jedno od većih pozitivnih iznenađenja #tlzp, mislim za mene, jer sam imao predrasude ...	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
RT @MimiKraljMamba: Prodaju exit Njemcima i nazovu ga Jakobsfeld festival	-	je	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Pitanje za Kseniju od @GagaDjermanovic: __da li__ onda etičko ponašanje povećava stepen __povjerenja__ i jača brend u konačnici #ProactiveX	-	je	-	-	-	-	-	-	-	-	-	dali	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
RT @Ezoterija: ljudi Srbiji ponovo nije dobro, a ni našem narodu u Tekiji http://t.co/jo491xaTPf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Kad imate nekoga na koga ste slabi tu vam je kraj. Za cigare I alkohol cete lako. Najteze se __coveku__ __odupreti__.	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i	-	-	-	-	-	-	0.14	latin
@MilenicaMM @ajdpali @MalaMajaa @Povracacu zvog kudrave zurke	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@bonsaw i ja volim da se ponovim :)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	da	-	-	-	-	0	latin
Uzalud svi mi kazu koci __sto__ se opijas	-	-	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Lekar __leci__, priroda ozdravljuje. Medicus medetur, natura sanat. Dobro jutro	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i (FP)	-	-	-	-	-	-	0.5	latin
RT @UNSinfo: UNS :: Vesti iz medija :: Kuriru packa zbog tekstova o "pijanom Georgievu" http://t.co/Gwq1aM7gU1	-	e	-	-	-	st (FP)	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i (FP)	-	-	-	-	-	-	1	latin
I'm at ITS Visoka skola, Zemun https://t.co/h23H13tVhZ	automatic	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
@BebaKron &lt;3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Manje mržnje samo. #xfactor #xfactoradria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Poljupci po ledjima I stomaku.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Cmok http://t.co/18PNYVd4Xu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
nista spec... :( (@ Beogradski sajam (Belgrade Fair) w/ 6 others) http://t.co/fcXq0u9N9H	en tweet (FP)	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	inf-i-drop (FP)	-	-	-	-	-	-	-	latin
@katarinakg to je najznačajnija životna uloga i za najvišu pažnju i pohvalu.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Tako zalim __sto__ nisam pored __deteta__. Razdire me to.	-	e	-	-	-	-	-	-	-	-	sto	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
#Tcom -ovci, majka mu stara, sve vam __lijepo__ platim i ocekujem od vas samo __sa me__ ispostujete, ali ne, ne moze nista bez natege proc'.	-	je	-	-	-	-	-	-	sa-dev (FP)	-	-	-	-	-	-	-	-	-	-	inf-i-drop	-	-	-	-	-	-	0	latin
RT @tamaraa_157: @sindikal http://t.co/kIbnUAovQy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
9 septembar 2013,kozna jakna i bermude #epicwin	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	- (FN)	-	-	-	-	-	-	-	-	-	-	-	latin
Ao meni rusaaa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	latin
Ipak ti imas druge __sta__ cu ti ja :)	-	-	-	-	-	-	-	-	-	-	sta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
Ne znam ni kako ni zasto ali mene __vecito__ nesto boli, te __koleno__, te clanak, al sam mlitav jebo me otac	-	e	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	latin
